publishers,subtitle,source_records,title,notes.value,number_of_pages,isbn_13,covers,created.value,physical_format,full_title,isbn_10,latest_revision,key,last_modified.value,publish_date,revision,identifiers.librarything,languages.key,first_sentence.value,series,lc_classifications,genres,subjects,publish_country,by_statement,oclc_numbers,publish_places,pagination,dewey_decimal_class,lccn,contributions,edition_name,identifiers.goodreads,weight,physical_dimensions,ocaid,description.value,identifiers.amazon,ia_box_id,id,notes,subject_place,ia_loaded_id,local_id,links.url,links.title,copyright_date,uri_descriptions,uris,url,translated_from.key,contributors.role,contributors.name,translation_of,work_title,other_titles,identifiers.overdrive,oclc_number,subject_time,table_of_contents.level,table_of_contents.label,table_of_contents.pagenum,table_of_contents.title,work_titles,location,description
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Engineering - General,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Engineering - General,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,3811057.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Engineering - General,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Cavendish Benchmark,,marc:marc_loc_updates/v37.i41.records.utf8:9433788:686,Guitars,Includes index.,,9780761447542,6273347.0,2009-11-24T15:40:32.247836,,,,4.0,OL23928909M,2018-08-19T05:02:07.539674,2011,4,,eng,,How are they made?,ML1015.G9 B57 2011,Juvenile literature,Guitar -- Construction -- Juvenile literature,nyu,Wendy Blaxland.,,New York,p. cm.,787.87/1923,2009039880,,,,,,guitars0000blax,"""Discusses how guitars are made""--Provided by publisher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Cavendish Benchmark,,ia:guitars0000blax,Guitars,Includes index.,,9780761447542,6273347.0,2009-11-24T15:40:32.247836,,,,4.0,OL23928909M,2018-08-19T05:02:07.539674,2011,4,,eng,,How are they made?,ML1015.G9 B57 2011,Juvenile literature,Guitar -- Construction -- Juvenile literature,nyu,Wendy Blaxland.,,New York,p. cm.,787.87/1923,2009039880,,,,,,guitars0000blax,"""Discusses how guitars are made""--Provided by publisher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corgi,,,Guitar.,,,,,2008-09-17T17:47:49.472950,,,0552086134,4.0,OL15060372M,2011-06-08T04:51:30.868771,1971,4,922473,eng,,,,,,xxk,,153549196,London,,,,,Rev. ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Publishers,Home School,,Physics,,38.0,9781565770843,804629.0,2008-04-30T08:14:56.482104,Paperback,,1565770846,4.0,OL8666270M,2010-08-10T07:05:40.621526,January 1995,4,239074,eng,,,,,Teaching Methods & Materials - General,,,,,,,,,Package edition,,8.8 ounces,10.8 x 8.3 x 0.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Publishers,Home School,,Physics,,38.0,9781565770843,804629.0,2008-04-30T08:14:56.482104,Paperback,,1565770846,4.0,OL8666270M,2010-08-10T07:05:40.621526,January 1995,4,239074,eng,,,,,Science,,,,,,,,,Package edition,,8.8 ounces,10.8 x 8.3 x 0.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Publishers,Home School,,Physics,,38.0,9781565770843,804629.0,2008-04-30T08:14:56.482104,Paperback,,1565770846,4.0,OL8666270M,2010-08-10T07:05:40.621526,January 1995,4,239074,eng,,,,,Textbooks,,,,,,,,,Package edition,,8.8 ounces,10.8 x 8.3 x 0.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
